defect_type_0edge_1node,f,epsilon,m_psi,mean_k
0.000000000000000000e+00,2.999999999999999889e-01,4.000000000000000083e-02,9.999575000000001657e-01,1.403033333333333310e+01
0.000000000000000000e+00,2.999999999999999889e-01,8.000000000000000167e-02,9.999470000000000303e-01,1.403033333333333310e+01
0.000000000000000000e+00,2.999999999999999889e-01,1.199999999999999956e-01,9.999424999999999564e-01,1.403033333333333310e+01
0.000000000000000000e+00,2.999999999999999889e-01,1.600000000000000033e-01,9.999388333333333323e-01,1.403033333333333310e+01
0.000000000000000000e+00,2.999999999999999889e-01,2.000000000000000111e-01,9.999306666666667454e-01,1.403033333333333310e+01
0.000000000000000000e+00,2.999999999999999889e-01,2.399999999999999911e-01,9.999158333333334481e-01,1.403033333333333310e+01
0.000000000000000000e+00,2.999999999999999889e-01,2.800000000000000266e-01,9.998888333333333378e-01,1.403033333333333310e+01
0.000000000000000000e+00,2.999999999999999889e-01,3.200000000000000067e-01,9.998456666666667436e-01,1.403033333333333310e+01
0.000000000000000000e+00,2.999999999999999889e-01,3.599999999999999867e-01,9.997709999999999653e-01,1.403033333333333310e+01
0.000000000000000000e+00,2.999999999999999889e-01,4.000000000000000222e-01,9.996713333333332452e-01,1.403033333333333310e+01
0.000000000000000000e+00,2.999999999999999889e-01,4.400000000000000022e-01,9.995706666666666074e-01,1.403033333333333310e+01
0.000000000000000000e+00,2.999999999999999889e-01,4.799999999999999822e-01,9.993303333333334315e-01,1.403033333333333310e+01
0.000000000000000000e+00,2.999999999999999889e-01,5.200000000000000178e-01,9.989598333333332691e-01,1.403033333333333310e+01
0.000000000000000000e+00,2.999999999999999889e-01,5.600000000000000533e-01,5.715362833333332837e-01,1.403033333333333310e+01
0.000000000000000000e+00,2.999999999999999889e-01,5.999999999999999778e-01,3.922706666666666946e-03,1.403033333333333310e+01
0.000000000000000000e+00,2.999999999999999889e-01,6.400000000000000133e-01,4.608753333333333313e-03,1.403033333333333310e+01
0.000000000000000000e+00,2.999999999999999889e-01,6.800000000000000488e-01,2.843081500000000077e-03,1.403033333333333310e+01
0.000000000000000000e+00,2.999999999999999889e-01,7.199999999999999734e-01,2.041817999999999932e-03,1.403033333333333310e+01
0.000000000000000000e+00,2.999999999999999889e-01,7.600000000000000089e-01,2.558042833333333283e-03,1.403033333333333310e+01
0.000000000000000000e+00,2.999999999999999889e-01,8.000000000000000444e-01,1.951979999999999861e-03,1.403033333333333310e+01
0.000000000000000000e+00,2.999999999999999889e-01,8.399999999999999689e-01,1.457600333333333676e-03,1.403033333333333310e+01
0.000000000000000000e+00,2.999999999999999889e-01,8.800000000000000044e-01,1.843480500000000159e-03,1.403033333333333310e+01
0.000000000000000000e+00,2.999999999999999889e-01,9.200000000000000400e-01,1.199168499999999976e-03,1.403033333333333310e+01
0.000000000000000000e+00,2.999999999999999889e-01,9.599999999999999645e-01,1.836994999999999904e-03,1.403033333333333310e+01
0.000000000000000000e+00,2.999999999999999889e-01,1.000000000000000000e+00,1.381247000000000160e-03,1.403033333333333310e+01
0.000000000000000000e+00,5.999999999999999778e-01,0.000000000000000000e+00,9.960293333333334331e-01,8.018000000000000682e+00
0.000000000000000000e+00,5.999999999999999778e-01,4.000000000000000083e-02,9.960105000000000208e-01,8.018000000000000682e+00
