f,mean_k_edge,eps_c_edge,mean_k_node,eps_c_node
0.000000000000000000e+00,2.004233333333333533e+01,6.146597304842001952e-01,2.004233333333333533e+01,6.146597304842001952e-01
2.999999999999999889e-01,1.403033333333333310e+01,5.650411960724007754e-01,1.405428571428571338e+01,5.789961040181934582e-01
5.999999999999999778e-01,8.018000000000000682e+00,4.598179957680827989e-01,7.984870184254606151e+00,4.619315862218244528e-01
8.000000000000000444e-01,4.093274128258411082e+00,2.232129781851195927e-01,4.043281033687125436e+00,2.194973421247371492e-01
