T,N,degree,epsilon,m_psi
2.999999999999999889e-01,8.000000000000000000e+02,4.000000000000000000e+00,7.000000000000000666e-01,2.036459999999999920e-03
2.999999999999999889e-01,8.000000000000000000e+02,4.000000000000000000e+00,7.500000000000000000e-01,2.516480000000000192e-03
2.999999999999999889e-01,8.000000000000000000e+02,4.000000000000000000e+00,8.000000000000000444e-01,3.332809999999999852e-03
2.999999999999999889e-01,8.000000000000000000e+02,4.000000000000000000e+00,8.500000000000000888e-01,1.492939999999999892e-03
2.999999999999999889e-01,8.000000000000000000e+02,4.000000000000000000e+00,9.000000000000000222e-01,1.330519999999999967e-03
2.999999999999999889e-01,8.000000000000000000e+02,4.000000000000000000e+00,9.500000000000000666e-01,3.512370000000000119e-04
2.999999999999999889e-01,8.000000000000000000e+02,4.000000000000000000e+00,1.000000000000000000e+00,1.311770000000000080e-03
2.999999999999999889e-01,8.000000000000000000e+02,6.000000000000000000e+00,0.000000000000000000e+00,9.978240000000000443e-01
2.999999999999999889e-01,8.000000000000000000e+02,6.000000000000000000e+00,5.000000000000000278e-02,9.977920000000000122e-01
2.999999999999999889e-01,8.000000000000000000e+02,6.000000000000000000e+00,1.000000000000000056e-01,9.978120000000000323e-01
2.999999999999999889e-01,8.000000000000000000e+02,6.000000000000000000e+00,1.500000000000000222e-01,9.976500000000000368e-01
2.999999999999999889e-01,8.000000000000000000e+02,6.000000000000000000e+00,2.000000000000000111e-01,9.974619999999999598e-01
2.999999999999999889e-01,8.000000000000000000e+02,6.000000000000000000e+00,2.500000000000000000e-01,9.970310000000000006e-01
2.999999999999999889e-01,8.000000000000000000e+02,6.000000000000000000e+00,3.000000000000000444e-01,9.964579999999999549e-01
2.999999999999999889e-01,8.000000000000000000e+02,6.000000000000000000e+00,3.500000000000000333e-01,9.952800000000000535e-01
2.999999999999999889e-01,8.000000000000000000e+02,6.000000000000000000e+00,4.000000000000000222e-01,9.940579999999999972e-01
2.999999999999999889e-01,8.000000000000000000e+02,6.000000000000000000e+00,4.500000000000000111e-01,1.405150000000000010e-01
2.999999999999999889e-01,8.000000000000000000e+02,6.000000000000000000e+00,5.000000000000000000e-01,1.285990000000000050e-02
2.999999999999999889e-01,8.000000000000000000e+02,6.000000000000000000e+00,5.500000000000000444e-01,3.896020000000000039e-03
2.999999999999999889e-01,8.000000000000000000e+02,6.000000000000000000e+00,6.000000000000000888e-01,2.199770000000000197e-03
2.999999999999999889e-01,8.000000000000000000e+02,6.000000000000000000e+00,6.500000000000000222e-01,4.936889999999999551e-04
