degree,epsilon,m_psi
8.000000000000000000e+00,0.000000000000000000e+00,9.971309999999999896e-01
8.000000000000000000e+00,4.000000000000000083e-02,9.970339999999999758e-01
8.000000000000000000e+00,8.000000000000000167e-02,9.967359999999999554e-01
8.000000000000000000e+00,1.199999999999999956e-01,9.963379999999999459e-01
8.000000000000000000e+00,1.600000000000000033e-01,9.955859999999999710e-01
8.000000000000000000e+00,2.000000000000000111e-01,9.948200000000000376e-01
8.000000000000000000e+00,2.399999999999999911e-01,9.935469999999999580e-01
8.000000000000000000e+00,2.800000000000000266e-01,9.917059999999999764e-01
8.000000000000000000e+00,3.200000000000000067e-01,9.891299999999999537e-01
8.000000000000000000e+00,3.599999999999999867e-01,9.848749999999999449e-01
8.000000000000000000e+00,4.000000000000000222e-01,9.787789999999999546e-01
8.000000000000000000e+00,4.400000000000000022e-01,9.655409999999999826e-01
8.000000000000000000e+00,4.799999999999999822e-01,6.609359999999999888e-03
8.000000000000000000e+00,5.200000000000000178e-01,2.433010000000000034e-02
8.000000000000000000e+00,5.600000000000000533e-01,8.945200000000000373e-03
8.000000000000000000e+00,5.999999999999999778e-01,5.489169999999999813e-03
8.000000000000000000e+00,6.400000000000000133e-01,2.842690000000000147e-03
8.000000000000000000e+00,6.800000000000000488e-01,3.616869999999999894e-03
8.000000000000000000e+00,7.199999999999999734e-01,3.374659999999999813e-03
8.000000000000000000e+00,7.600000000000000089e-01,6.757410000000000153e-03
8.000000000000000000e+00,8.000000000000000444e-01,1.996359999999999975e-04
8.000000000000000000e+00,8.399999999999999689e-01,2.013229999999999967e-03
8.000000000000000000e+00,8.800000000000000044e-01,3.989440000000000347e-03
8.000000000000000000e+00,9.200000000000000400e-01,1.609149999999999947e-03
8.000000000000000000e+00,9.599999999999999645e-01,1.468310000000000014e-03
8.000000000000000000e+00,1.000000000000000000e+00,3.375379999999999873e-03
1.000000000000000000e+01,0.000000000000000000e+00,9.995880000000000321e-01
1.000000000000000000e+01,4.000000000000000083e-02,9.996049999999999658e-01
1.000000000000000000e+01,8.000000000000000167e-02,9.995309999999999473e-01
1.000000000000000000e+01,1.199999999999999956e-01,9.994579999999999576e-01
1.000000000000000000e+01,1.600000000000000033e-01,9.992299999999999516e-01
1.000000000000000000e+01,2.000000000000000111e-01,9.989190000000000014e-01
1.000000000000000000e+01,2.399999999999999911e-01,9.986279999999999601e-01
1.000000000000000000e+01,2.800000000000000266e-01,9.980719999999999592e-01
1.000000000000000000e+01,3.200000000000000067e-01,9.971820000000000128e-01
1.000000000000000000e+01,3.599999999999999867e-01,9.958949999999999747e-01
1.000000000000000000e+01,4.000000000000000222e-01,9.941929999999999934e-01
1.000000000000000000e+01,4.400000000000000022e-01,9.913939999999999975e-01
1.000000000000000000e+01,4.799999999999999822e-01,9.863570000000000393e-01
1.000000000000000000e+01,5.200000000000000178e-01,2.636470000000000133e-02
1.000000000000000000e+01,5.600000000000000533e-01,1.435459999999999948e-03
1.000000000000000000e+01,5.999999999999999778e-01,4.250600000000000211e-03
1.000000000000000000e+01,6.400000000000000133e-01,1.047430000000000062e-02
1.000000000000000000e+01,6.800000000000000488e-01,8.433629999999999686e-04
1.000000000000000000e+01,7.199999999999999734e-01,3.224929999999999984e-03
1.000000000000000000e+01,7.600000000000000089e-01,3.872560000000000151e-03
1.000000000000000000e+01,8.000000000000000444e-01,4.136500000000000420e-03
1.000000000000000000e+01,8.399999999999999689e-01,1.600599999999999983e-03
1.000000000000000000e+01,8.800000000000000044e-01,1.923479999999999981e-03
1.000000000000000000e+01,9.200000000000000400e-01,3.842050000000000066e-03
1.000000000000000000e+01,9.599999999999999645e-01,2.070709999999999912e-03
1.000000000000000000e+01,1.000000000000000000e+00,1.631330000000000063e-03
1.200000000000000000e+01,0.000000000000000000e+00,9.999200000000000310e-01
1.200000000000000000e+01,4.000000000000000083e-02,9.999099999999999655e-01
1.200000000000000000e+01,8.000000000000000167e-02,9.998899999999999455e-01
1.200000000000000000e+01,1.199999999999999956e-01,9.998629999999999463e-01
1.200000000000000000e+01,1.600000000000000033e-01,9.998160000000000380e-01
1.200000000000000000e+01,2.000000000000000111e-01,9.996749999999999803e-01
1.200000000000000000e+01,2.399999999999999911e-01,9.995110000000000383e-01
1.200000000000000000e+01,2.800000000000000266e-01,9.993840000000000501e-01
1.200000000000000000e+01,3.200000000000000067e-01,9.990830000000000544e-01
1.200000000000000000e+01,3.599999999999999867e-01,9.986040000000000472e-01
1.200000000000000000e+01,4.000000000000000222e-01,9.979519999999999502e-01
1.200000000000000000e+01,4.400000000000000022e-01,9.967540000000000289e-01
1.200000000000000000e+01,4.799999999999999822e-01,9.948879999999999946e-01
1.200000000000000000e+01,5.200000000000000178e-01,9.886310000000000375e-01
1.200000000000000000e+01,5.600000000000000533e-01,9.443760000000000696e-03
1.200000000000000000e+01,5.999999999999999778e-01,4.347460000000000040e-03
1.200000000000000000e+01,6.400000000000000133e-01,3.997449999999999615e-03
1.200000000000000000e+01,6.800000000000000488e-01,3.288290000000000136e-03
1.200000000000000000e+01,7.199999999999999734e-01,6.102129999999999881e-03
1.200000000000000000e+01,7.600000000000000089e-01,2.715110000000000180e-03
1.200000000000000000e+01,8.000000000000000444e-01,6.315379999999999779e-03
1.200000000000000000e+01,8.399999999999999689e-01,3.332799999999999912e-03
1.200000000000000000e+01,8.800000000000000044e-01,4.213930000000000280e-03
1.200000000000000000e+01,9.200000000000000400e-01,1.612600000000000058e-03
1.200000000000000000e+01,9.599999999999999645e-01,3.686109999999999821e-03
1.200000000000000000e+01,1.000000000000000000e+00,5.160979999999999908e-03
1.400000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.400000000000000000e+01,4.000000000000000083e-02,1.000000000000000000e+00
1.400000000000000000e+01,8.000000000000000167e-02,9.999970000000000248e-01
1.400000000000000000e+01,1.199999999999999956e-01,9.999900000000000455e-01
1.400000000000000000e+01,1.600000000000000033e-01,9.999799999999999800e-01
1.400000000000000000e+01,2.000000000000000111e-01,9.999259999999999815e-01
1.400000000000000000e+01,2.399999999999999911e-01,9.998759999999999870e-01
1.400000000000000000e+01,2.800000000000000266e-01,9.997620000000000395e-01
1.400000000000000000e+01,3.200000000000000067e-01,9.996690000000000298e-01
1.400000000000000000e+01,3.599999999999999867e-01,9.994480000000000031e-01
1.400000000000000000e+01,4.000000000000000222e-01,9.992799999999999461e-01
1.400000000000000000e+01,4.400000000000000022e-01,9.989219999999999766e-01
1.400000000000000000e+01,4.799999999999999822e-01,9.983030000000000515e-01
1.400000000000000000e+01,5.200000000000000178e-01,9.967369999999999841e-01
1.400000000000000000e+01,5.600000000000000533e-01,9.945110000000000339e-01
1.400000000000000000e+01,5.999999999999999778e-01,7.025609999999999841e-03
1.400000000000000000e+01,6.400000000000000133e-01,6.697080000000000220e-03
1.400000000000000000e+01,6.800000000000000488e-01,4.762699999999999920e-03
1.400000000000000000e+01,7.199999999999999734e-01,4.745010000000000026e-03
1.400000000000000000e+01,7.600000000000000089e-01,5.639400000000000142e-03
1.400000000000000000e+01,8.000000000000000444e-01,5.682849999999999707e-03
1.400000000000000000e+01,8.399999999999999689e-01,2.553339999999999863e-03
1.400000000000000000e+01,8.800000000000000044e-01,2.393370000000000133e-03
1.400000000000000000e+01,9.200000000000000400e-01,2.429010000000000110e-03
1.400000000000000000e+01,9.599999999999999645e-01,1.415589999999999991e-03
1.400000000000000000e+01,1.000000000000000000e+00,1.617319999999999999e-03
1.600000000000000000e+01,0.000000000000000000e+00,9.999900000000000455e-01
1.600000000000000000e+01,4.000000000000000083e-02,9.999869999999999592e-01
1.600000000000000000e+01,8.000000000000000167e-02,9.999869999999999592e-01
1.600000000000000000e+01,1.199999999999999956e-01,9.999900000000000455e-01
1.600000000000000000e+01,1.600000000000000033e-01,9.999900000000000455e-01
1.600000000000000000e+01,2.000000000000000111e-01,9.999700000000000255e-01
1.600000000000000000e+01,2.399999999999999911e-01,9.999360000000000470e-01
1.600000000000000000e+01,2.800000000000000266e-01,9.998930000000000318e-01
1.600000000000000000e+01,3.200000000000000067e-01,9.998789999999999623e-01
1.600000000000000000e+01,3.599999999999999867e-01,9.998660000000000325e-01
1.600000000000000000e+01,4.000000000000000222e-01,9.998059999999999725e-01
1.600000000000000000e+01,4.400000000000000022e-01,9.995479999999999920e-01
1.600000000000000000e+01,4.799999999999999822e-01,9.992999999999999661e-01
1.600000000000000000e+01,5.200000000000000178e-01,9.987920000000000131e-01
1.600000000000000000e+01,5.600000000000000533e-01,9.978749999999999565e-01
1.600000000000000000e+01,5.999999999999999778e-01,8.519089999999999996e-03
1.600000000000000000e+01,6.400000000000000133e-01,1.644309999999999869e-02
1.600000000000000000e+01,6.800000000000000488e-01,4.557280000000000358e-03
1.600000000000000000e+01,7.199999999999999734e-01,2.838590000000000210e-03
1.600000000000000000e+01,7.600000000000000089e-01,1.180880000000000037e-03
1.600000000000000000e+01,8.000000000000000444e-01,3.577669999999999809e-03
1.600000000000000000e+01,8.399999999999999689e-01,1.220729999999999949e-03
1.600000000000000000e+01,8.800000000000000044e-01,3.373230000000000065e-03
1.600000000000000000e+01,9.200000000000000400e-01,1.649700000000000038e-03
1.600000000000000000e+01,9.599999999999999645e-01,2.140249999999999792e-03
1.600000000000000000e+01,1.000000000000000000e+00,3.774800000000000030e-03
1.800000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.800000000000000000e+01,4.000000000000000083e-02,1.000000000000000000e+00
1.800000000000000000e+01,8.000000000000000167e-02,1.000000000000000000e+00
1.800000000000000000e+01,1.199999999999999956e-01,1.000000000000000000e+00
1.800000000000000000e+01,1.600000000000000033e-01,1.000000000000000000e+00
1.800000000000000000e+01,2.000000000000000111e-01,9.999930000000000208e-01
1.800000000000000000e+01,2.399999999999999911e-01,9.999930000000000208e-01
1.800000000000000000e+01,2.800000000000000266e-01,9.999930000000000208e-01
1.800000000000000000e+01,3.200000000000000067e-01,9.999829999999999552e-01
1.800000000000000000e+01,3.599999999999999867e-01,9.999599999999999600e-01
1.800000000000000000e+01,4.000000000000000222e-01,9.999000000000000110e-01
1.800000000000000000e+01,4.400000000000000022e-01,9.998829999999999663e-01
1.800000000000000000e+01,4.799999999999999822e-01,9.997460000000000235e-01
1.800000000000000000e+01,5.200000000000000178e-01,9.995410000000000128e-01
1.800000000000000000e+01,5.600000000000000533e-01,9.991459999999999786e-01
1.800000000000000000e+01,5.999999999999999778e-01,1.616770000000000013e-02
1.800000000000000000e+01,6.400000000000000133e-01,6.125239999999999678e-03
1.800000000000000000e+01,6.800000000000000488e-01,4.087750000000000238e-03
1.800000000000000000e+01,7.199999999999999734e-01,3.696210000000000120e-03
1.800000000000000000e+01,7.600000000000000089e-01,5.968010000000000155e-03
1.800000000000000000e+01,8.000000000000000444e-01,5.636719999999999795e-04
1.800000000000000000e+01,8.399999999999999689e-01,2.596139999999999819e-03
1.800000000000000000e+01,8.800000000000000044e-01,3.744560000000000076e-03
