step,eps_c_interp,eps_c_naive
1.250000000000000069e-02,6.297763017154831555e-01,6.375000000000000666e-01
2.500000000000000139e-02,6.345800510397449079e-01,6.500000000000000222e-01
5.000000000000000278e-02,6.251518229787288439e-01,6.500000000000000222e-01
1.000000000000000056e-01,6.501206894112954160e-01,7.000000000000000666e-01
