epsilon,zealot_strategy,z,conversion,conversion_sd,m_psi,m_psi_sd,rho_beater
2.999999999999999889e-01,2.000000000000000000e+00,1.750000000000000167e-01,1.593571865625000306e-01,3.611220718557383025e-01,7.862442499999999779e-01,9.121194910584631832e-02,6.926428498437500192e-01
2.999999999999999889e-01,2.000000000000000000e+00,2.000000000000000111e-01,3.162130637500000230e-01,4.600682286816397681e-01,8.024728125000000212e-01,1.320493053293535501e-01,5.463155786562500227e-01
9.000000000000000222e-01,0.000000000000000000e+00,2.500000000000000139e-02,3.183786874999999794e-01,1.529562037755827480e-03,2.027241562500000163e-02,1.808581371909585671e-03,3.437740312500000006e-01
9.000000000000000222e-01,0.000000000000000000e+00,5.000000000000000278e-02,3.025848437499999988e-01,1.814383540444505479e-03,4.004384375000000218e-02,2.097385415514024885e-03,3.540583437500000041e-01
9.000000000000000222e-01,0.000000000000000000e+00,7.500000000000001110e-02,2.842859375000000299e-01,2.776387963000444530e-03,6.051755312499999817e-02,2.535586079561338250e-03,3.656468437500000057e-01
9.000000000000000222e-01,0.000000000000000000e+00,1.000000000000000056e-01,2.646478125000000237e-01,3.055853813150054971e-03,8.213304374999999546e-02,3.663884552795152599e-03,3.780772187499999992e-01
9.000000000000000222e-01,0.000000000000000000e+00,1.250000000000000000e-01,2.429281249999999948e-01,3.863617247395890412e-03,1.036056250000000067e-01,4.443248102880369491e-03,3.908455937499999422e-01
9.000000000000000222e-01,0.000000000000000000e+00,1.499999999999999944e-01,2.204297500000000076e-01,4.977882632204177343e-03,1.272284687499999900e-01,6.246756023050958721e-03,4.045916562499999869e-01
9.000000000000000222e-01,0.000000000000000000e+00,1.750000000000000167e-01,1.958094062499999843e-01,6.164480330182825485e-03,1.517100000000000115e-01,8.251853416808856492e-03,4.191592187499999511e-01
9.000000000000000222e-01,0.000000000000000000e+00,2.000000000000000111e-01,1.684928125000000054e-01,7.104310150524380252e-03,1.804413437499999828e-01,1.020411977343395685e-02,4.366569687499999852e-01
9.000000000000000222e-01,1.000000000000000000e+00,2.500000000000000139e-02,3.185645937500000136e-01,1.523151828023370721e-03,2.000109374999999717e-02,1.649433148262134836e-03,3.434988437500000047e-01
9.000000000000000222e-01,1.000000000000000000e+00,5.000000000000000278e-02,3.025073125000000140e-01,2.018812265874107056e-03,3.987411562499999784e-02,1.761510176508600039e-03,3.539945624999999985e-01
9.000000000000000222e-01,1.000000000000000000e+00,7.500000000000001110e-02,2.844300625000000249e-01,2.948459152013769690e-03,6.087547499999999834e-02,2.665250998499016193e-03,3.657667187499999972e-01
9.000000000000000222e-01,1.000000000000000000e+00,1.000000000000000056e-01,2.645482499999999848e-01,2.936726313005692725e-03,8.187280624999999923e-02,3.352768785733059240e-03,3.779828437500000193e-01
9.000000000000000222e-01,1.000000000000000000e+00,1.250000000000000000e-01,2.429934687499999968e-01,3.992799761636369425e-03,1.039689781250000000e-01,4.574780813173893318e-03,3.910197499999999993e-01
9.000000000000000222e-01,1.000000000000000000e+00,1.499999999999999944e-01,2.206309999999999938e-01,5.230820848585810735e-03,1.268750312499999922e-01,6.314072306584194230e-03,4.042841249999999942e-01
9.000000000000000222e-01,1.000000000000000000e+00,1.750000000000000167e-01,1.956857187500000150e-01,5.931521623044835705e-03,1.517648750000000213e-01,7.637444049508643890e-03,4.192534687500000246e-01
9.000000000000000222e-01,1.000000000000000000e+00,2.000000000000000111e-01,1.687655000000000127e-01,7.062369326224734491e-03,1.796077812499999871e-01,9.850824149323669093e-03,4.360645624999999748e-01
9.000000000000000222e-01,2.000000000000000000e+00,2.500000000000000139e-02,3.188636562500000160e-01,1.357332162952731109e-03,1.987934687500000214e-02,1.707240996092887920e-03,3.432470312500000009e-01
9.000000000000000222e-01,2.000000000000000000e+00,5.000000000000000278e-02,3.023870000000000169e-01,2.042025679319436904e-03,4.001934999999999520e-02,2.019696152890330249e-03,3.541485000000000327e-01
9.000000000000000222e-01,2.000000000000000000e+00,7.500000000000001110e-02,2.842345000000000566e-01,2.809440369094881249e-03,6.068938437500000227e-02,2.766870922982016603e-03,3.657751249999999787e-01
9.000000000000000222e-01,2.000000000000000000e+00,1.000000000000000056e-01,2.646774687499999779e-01,2.936048726438893978e-03,8.176260312499999960e-02,3.036666870464676399e-03,3.778515937499999922e-01
9.000000000000000222e-01,2.000000000000000000e+00,1.250000000000000000e-01,2.429638749999999958e-01,4.006724314745775152e-03,1.036839781249999926e-01,4.531702001920357402e-03,3.908689375000000688e-01
9.000000000000000222e-01,2.000000000000000000e+00,1.499999999999999944e-01,2.205358437500000157e-01,5.135605150012598381e-03,1.271890312500000009e-01,6.064959405698727192e-03,4.045142812499999962e-01
9.000000000000000222e-01,2.000000000000000000e+00,1.750000000000000167e-01,1.957336562499999988e-01,6.011052141729096576e-03,1.519544687499999880e-01,7.813726915596898651e-03,4.193399687500000139e-01
9.000000000000000222e-01,2.000000000000000000e+00,2.000000000000000111e-01,1.687249687499999817e-01,6.977719355582700719e-03,1.800517187500000060e-01,1.002131171938825879e-02,4.363409687499999468e-01
