epsilon,m_k10_r3333,m_k10_r4000,m_k10_r5000,m_k10_r9000,m_k20_r3333,m_k20_r4000,m_k20_r5000,m_k20_r9000
7.750000000000000222e-01,6.817733034282724095e-04,6.817733034282724095e-04,5.145354888652447188e-04,6.222799575477441086e-04,5.547837210857224817e-04,5.292598206015984141e-04,5.292598206015984141e-04,9.984263332817782111e-01
7.875000000000000888e-01,6.872726308092914687e-04,5.172813582088795197e-04,5.172813582088787608e-04,5.172813582086965064e-04,5.554044582575047616e-04,5.292248555024003801e-04,5.292248555024003801e-04,9.976111600182445693e-01
8.000000000000000444e-01,6.925408822330925227e-04,5.198133245837374293e-04,6.925408822330925227e-04,6.146731822376621775e-04,5.558340576450197844e-04,5.291994625328028026e-04,5.291994625328028026e-04,9.963006973193920812e-01
8.125000000000000000e-01,6.111231771425065925e-04,5.218516925538450434e-04,6.975387684302240083e-04,6.111231771427726557e-04,5.561302704598750394e-04,5.291818229359806320e-04,5.291818229359806320e-04,5.291818229358071597e-04
8.250000000000000666e-01,5.373565977356634929e-04,5.262401677532905098e-04,5.262401677532905098e-04,7.022256293356349353e-04,5.563339014463218862e-04,5.291699512508539266e-04,5.291699512508539266e-04,5.563339014461631590e-04
8.375000000000000222e-01,5.423954400727583856e-04,5.274140843104223883e-04,5.274140843104223883e-04,6.045015494915361668e-04,5.564735827710002225e-04,5.291621626742683835e-04,5.291621626742683835e-04,5.291621626740730102e-04
8.500000000000000888e-01,5.454818563290471725e-04,5.279723158479225024e-04,5.279723158479225024e-04,5.454818563286716049e-04,5.565692565393713740e-04,5.291571697969301401e-04,5.291571697969301401e-04,5.291571697968381997e-04
8.625000000000000444e-01,5.477121175241218397e-04,5.283007706340244695e-04,5.283007706340244695e-04,5.283007706340244695e-04,5.566347268431286232e-04,5.291540437829356062e-04,5.291540437829356062e-04,5.291540437828339081e-04
8.750000000000000000e-01,5.494215563259814000e-04,5.285115518796767867e-04,5.285115518796767867e-04,5.494215563258146497e-04,5.566795050499313748e-04,5.291521385319940003e-04,5.291521385319940003e-04,5.291521385318233468e-04
8.875000000000000666e-01,5.507704583680389596e-04,5.286541258082751854e-04,5.286541258082751854e-04,5.286541258081320707e-04,5.567101235487584374e-04,5.291510161034809106e-04,5.291510161034809106e-04,5.291510161033541673e-04
9.000000000000000222e-01,5.518524268955993023e-04,5.287544172945442831e-04,5.287544172945442831e-04,5.518524268955993023e-04,5.567310590380367000e-04,5.291503856062788284e-04,5.291503856062788284e-04,5.291503856061766965e-04
9.125000000000000888e-01,5.527289181116256224e-04,5.288273380932507128e-04,5.288273380932507128e-04,5.527289181116256224e-04,5.567453751670485606e-04,5.291500571762001223e-04,5.291500571762001223e-04,5.567453751670485606e-04
9.250000000000000444e-01,5.534434211797353278e-04,5.288819650955476747e-04,5.288819650955476747e-04,5.534434211797353278e-04,5.567551667951722155e-04,5.291499089418455351e-04,5.291499089418455351e-04,5.567551667951722155e-04
9.375000000000000000e-01,5.540282747349040181e-04,5.289240336333707803e-04,5.289240336333707803e-04,5.540282747349040181e-04,5.567618656850992524e-04,5.291498640357001097e-04,5.291498640357001097e-04,5.567618656850992524e-04
9.500000000000000666e-01,5.545083372522829554e-04,5.289572649404232626e-04,5.289572649404232626e-04,5.545083372522829554e-04,5.567664502030083250e-04,5.291498749387532011e-04,5.291498749387532011e-04,5.567664502030083250e-04
9.625000000000000222e-01,5.549031484439001126e-04,5.289841233831569112e-04,5.289841233831569112e-04,5.549031484439001126e-04,5.567695888821066336e-04,5.291499129979857245e-04,5.291499129979857245e-04,5.567695888821066336e-04
9.750000000000000888e-01,5.552283000115379149e-04,5.290062697654595875e-04,5.290062697654595875e-04,5.552283000115379149e-04,5.567717385893303879e-04,5.291499615022409158e-04,5.291499615022409158e-04,5.567717385893303879e-04
9.875000000000000444e-01,5.554963604979663806e-04,5.290248420872674384e-04,5.290248420872674384e-04,5.554963604979663806e-04,5.567732116004531868e-04,5.291500111682673072e-04,5.291500111682673072e-04,5.567732116004531868e-04
1.000000000000000000e+00,5.557175317186913805e-04,5.290406336748582896e-04,5.290406336748582896e-04,5.557175317186913805e-04,5.567742214148099951e-04,5.291500572337950016e-04,5.291500572337950016e-04,5.567742214148099951e-04
