sweeps,eps_c,rmse_vs_ref,m_cycle
2.000000000000000000e+02,5.987361343654737933e-01,1.125596438859758630e-01,5.536469999999999933e-03
5.000000000000000000e+02,6.216116326563480010e-01,3.039992609933086024e-02,3.731439750000000062e-03
1.000000000000000000e+03,6.251615979610672946e-01,1.352644928665256395e-02,2.461294449999999658e-03
1.500000000000000000e+03,6.251518229787288439e-01,1.357514895045959340e-02,1.939560950000000002e-03
3.000000000000000000e+03,6.250422483003426066e-01,1.450985074187254378e-02,1.089080450000000019e-03
6.000000000000000000e+03,6.268299050336929579e-01,0.000000000000000000e+00,8.278184500000000667e-04
