N,eps_c,eps_c_std,width,m_cycle,sd_cycle
1.250000000000000000e+02,6.997484439526853173e-01,1.314909504718000076e-02,2.126108071394583465e-02,4.045281199999999598e-03,2.344919003856926493e-03
2.500000000000000000e+02,6.652526457112520886e-01,5.168967305355510848e-03,1.302466811281788317e-02,2.667459750000000102e-03,1.527826125781493434e-03
5.000000000000000000e+02,6.292792266396567413e-01,2.060544734440280818e-03,7.785034665311330038e-03,1.939560950000000002e-03,1.056965759006386809e-03
1.000000000000000000e+03,6.096334010775590340e-01,5.066883306877927040e-03,9.583018368742091120e-03,1.200493549999999930e-03,4.601603630207056037e-04
2.000000000000000000e+03,5.937842872067217170e-01,1.872326354406702556e-05,6.285887609546514376e-03,1.060808200000000175e-03,5.180510792403196594e-04
4.000000000000000000e+03,5.871060323716524865e-01,5.847423856609932323e-03,1.244250116193379441e-02,5.681190500000000846e-04,3.778969955419697320e-04
