k,init_r,init_p,init_s,eps_c
1.000000000000000000e+01,3.333999999999999742e-01,3.332999999999999852e-01,3.332999999999999852e-01,5.812434093295775206e-01
1.000000000000000000e+01,4.000000000000000222e-01,3.499999999999999778e-01,2.500000000000000000e-01,6.312211734461385948e-01
1.000000000000000000e+01,5.000000000000000000e-01,2.999999999999999889e-01,2.000000000000000111e-01,6.312215996197255707e-01
1.000000000000000000e+01,9.000000000000000222e-01,5.000000000000000278e-02,5.000000000000000278e-02,7.061017785121828094e-01
2.000000000000000000e+01,3.333999999999999742e-01,3.332999999999999852e-01,3.332999999999999852e-01,7.062523830549015669e-01
2.000000000000000000e+01,4.000000000000000222e-01,3.499999999999999778e-01,2.500000000000000000e-01,7.062523830549015669e-01
2.000000000000000000e+01,5.000000000000000000e-01,2.999999999999999889e-01,2.000000000000000111e-01,7.062524714515290292e-01
2.000000000000000000e+01,9.000000000000000222e-01,5.000000000000000278e-02,5.000000000000000278e-02,8.062301026088293243e-01
