T,k,N,epsilon,z,conversion,conversion_sd,m_psi,m_psi_sd,rho_paper
4.000000000000000222e-01,1.000000000000000000e+01,8.000000000000000000e+02,9.000000000000000222e-01,5.000000000000000278e-02,3.038391249999999877e-01,1.737755480317937015e-03,4.028631250000000441e-02,1.805910108115503943e-03,3.534322500000000034e-01
4.000000000000000222e-01,1.000000000000000000e+01,8.000000000000000000e+02,9.000000000000000222e-01,7.500000000000001110e-02,2.859476249999999831e-01,1.486572226423918267e-03,6.157902500000000251e-02,2.349327856403829375e-03,3.653730000000000033e-01
4.000000000000000222e-01,1.000000000000000000e+01,8.000000000000000000e+02,9.000000000000000222e-01,1.000000000000000056e-01,2.654032499999999795e-01,2.082874501140191160e-03,8.291331250000000264e-02,1.864031794550124414e-03,3.781693749999999743e-01
4.000000000000000222e-01,1.000000000000000000e+01,8.000000000000000000e+02,9.000000000000000222e-01,1.250000000000000000e-01,2.446191249999999928e-01,3.068631023661041925e-03,1.026554124999999873e-01,2.105924207110443282e-03,3.894910000000000316e-01
4.000000000000000222e-01,1.000000000000000000e+01,8.000000000000000000e+02,9.000000000000000222e-01,1.500000000000000222e-01,2.208603749999999977e-01,4.453982261344898406e-03,1.283143750000000083e-01,3.511421006426745234e-03,4.050423750000000100e-01
4.000000000000000222e-01,1.000000000000000000e+01,8.000000000000000000e+02,9.000000000000000222e-01,1.750000000000000167e-01,1.953113750000000093e-01,5.332176711660540497e-03,1.522146249999999923e-01,4.139525816367739704e-03,4.196981250000000330e-01
4.000000000000000222e-01,1.000000000000000000e+01,8.000000000000000000e+02,9.000000000000000222e-01,2.000000000000000111e-01,1.657756250000000098e-01,4.995174519911688149e-03,1.816142500000000048e-01,6.018825108565625456e-03,4.384872499999999951e-01
6.500000000000000222e-01,1.000000000000000000e+01,8.000000000000000000e+02,2.999999999999999889e-01,0.000000000000000000e+00,6.245824345250000631e-01,4.830211689096160499e-01,9.980181249999999782e-01,6.066169379229205709e-04,1.256442507625000204e-01
6.500000000000000222e-01,1.000000000000000000e+01,8.000000000000000000e+02,2.999999999999999889e-01,2.500000000000000139e-02,2.500924950374999733e-01,4.320069564879407409e-01,9.696299999999999919e-01,1.618353158306307105e-02,6.089834044999999918e-01
6.500000000000000222e-01,1.000000000000000000e+01,8.000000000000000000e+02,2.999999999999999889e-01,5.000000000000000278e-02,3.009086250000000094e-04,1.811691351920474843e-04,9.238167500000000754e-01,6.550739939121335252e-04,9.485576250000000709e-01
6.500000000000000222e-01,1.000000000000000000e+01,8.000000000000000000e+02,2.999999999999999889e-01,7.500000000000001110e-02,5.057914999999999633e-04,2.089428224688514809e-04,8.873772499999998953e-01,5.998151277685455970e-04,9.233611250000000048e-01
6.500000000000000222e-01,1.000000000000000000e+01,8.000000000000000000e+02,2.999999999999999889e-01,1.000000000000000056e-01,1.192129125000000039e-03,7.571467597050517877e-04,8.510377499999999262e-01,1.048169326731111187e-03,8.977526250000000818e-01
6.500000000000000222e-01,1.000000000000000000e+01,8.000000000000000000e+02,2.999999999999999889e-01,1.250000000000000000e-01,1.851359249999999989e-03,9.739862049237081381e-04,8.156062499999999771e-01,1.475374083919052696e-03,8.722239999999999993e-01
6.500000000000000222e-01,1.000000000000000000e+01,8.000000000000000000e+02,2.999999999999999889e-01,1.500000000000000222e-01,3.153187499999999741e-03,1.342963484013526710e-03,7.804655000000000342e-01,1.871140761674557063e-03,8.462294999999999678e-01
6.500000000000000222e-01,1.000000000000000000e+01,8.000000000000000000e+02,2.999999999999999889e-01,1.750000000000000167e-01,2.534087087500000446e-01,4.301643815442833252e-01,8.089651250000000626e-01,1.092143286895514015e-01,6.151833449999999370e-01
6.500000000000000222e-01,1.000000000000000000e+01,8.000000000000000000e+02,2.999999999999999889e-01,2.000000000000000111e-01,3.789258437499999910e-01,4.801310879069369264e-01,8.196883749999999136e-01,1.385323959142206185e-01,4.961757027500000028e-01
6.500000000000000222e-01,1.000000000000000000e+01,8.000000000000000000e+02,9.000000000000000222e-01,0.000000000000000000e+00,3.332507499999999845e-01,6.428957438807677378e-04,9.896727500000000732e-04,6.801022302034359862e-04,3.335822499999999691e-01
6.500000000000000222e-01,1.000000000000000000e+01,8.000000000000000000e+02,9.000000000000000222e-01,2.500000000000000139e-02,3.196407500000000290e-01,1.266951927856770684e-03,1.922221249999999867e-02,1.507830816469058963e-03,3.423350000000000004e-01
6.500000000000000222e-01,1.000000000000000000e+01,8.000000000000000000e+02,9.000000000000000222e-01,5.000000000000000278e-02,3.040273749999999886e-01,1.753819541564909882e-03,3.864100000000000174e-02,1.236655030717944163e-03,3.523308750000000433e-01
6.500000000000000222e-01,1.000000000000000000e+01,8.000000000000000000e+02,9.000000000000000222e-01,7.500000000000001110e-02,2.857232499999999842e-01,1.727468143700484253e-03,5.971501249999999761e-02,2.188509732350703459e-03,3.644078749999999922e-01
6.500000000000000222e-01,1.000000000000000000e+01,8.000000000000000000e+02,9.000000000000000222e-01,1.000000000000000056e-01,2.665847499999999815e-01,1.693957182900435524e-03,8.093986250000000104e-02,2.509714392584093401e-03,3.763967500000000022e-01
6.500000000000000222e-01,1.000000000000000000e+01,8.000000000000000000e+02,9.000000000000000222e-01,1.250000000000000000e-01,2.454188750000000085e-01,2.801771289626432421e-03,1.011462250000000063e-01,3.196829473380618548e-03,3.882162499999999850e-01
6.500000000000000222e-01,1.000000000000000000e+01,8.000000000000000000e+02,9.000000000000000222e-01,1.500000000000000222e-01,2.228563749999999954e-01,3.956155391838771761e-03,1.260216249999999982e-01,2.551733476359752464e-03,4.027905000000000513e-01
6.500000000000000222e-01,1.000000000000000000e+01,8.000000000000000000e+02,9.000000000000000222e-01,1.750000000000000167e-01,1.981633749999999750e-01,5.574849346338877493e-03,1.497446250000000201e-01,4.771017264103639792e-03,4.170012499999999900e-01
6.500000000000000222e-01,1.000000000000000000e+01,8.000000000000000000e+02,9.000000000000000222e-01,2.000000000000000111e-01,1.696666250000000153e-01,5.300831725717674095e-03,1.791765000000000163e-01,6.259782244615226705e-03,4.354939999999999922e-01
1.000000000000000000e+00,1.000000000000000000e+01,8.000000000000000000e+02,2.999999999999999889e-01,0.000000000000000000e+00,6.205059403750000646e-01,4.802852244590279374e-01,9.892838750000000347e-01,1.699158868197727561e-03,3.768202199999999280e-01
1.000000000000000000e+00,1.000000000000000000e+01,8.000000000000000000e+02,2.999999999999999889e-01,2.500000000000000139e-02,1.278229192500000000e-01,3.268774083878687731e-01,9.541230000000000544e-01,1.376946327930033027e-02,6.057250531250000236e-01
1.000000000000000000e+00,1.000000000000000000e+01,8.000000000000000000e+02,2.999999999999999889e-01,5.000000000000000278e-02,4.630636875000000013e-03,9.114929877918582363e-03,9.109574999999999756e-01,9.898254151616825425e-03,8.248395178749999834e-01
1.000000000000000000e+00,1.000000000000000000e+01,8.000000000000000000e+02,2.999999999999999889e-01,7.500000000000001110e-02,1.886583749999999875e-03,4.673740509200714375e-04,8.774735000000000174e-01,1.680230490141164856e-03,9.169022500000000298e-01
