epsilon,z,r0,p0,s0,initial_leader,winner,t_lead,t_majority,r_final,p_final,s_final
2.999999999999999889e-01,0.000000000000000000e+00,3.187499999999999778e-01,3.425000000000000266e-01,3.387499999999999956e-01,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+00,6.000000000000000000e+00,7.500000000000002053e-05,9.990299999999959768e-01,8.949999999999966012e-04
2.999999999999999889e-01,5.000000000000000278e-02,3.499999999999999778e-01,3.300000000000000155e-01,3.200000000000000067e-01,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000000e+00,5.010250000000039672e-02,9.488624999999984988e-01,1.034999999999994908e-03
2.999999999999999889e-01,2.000000000000000111e-01,4.487499999999999822e-01,2.887500000000000067e-01,2.625000000000000111e-01,0.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000000e+00,8.000000000000000000e+00,2.049799999999990796e-01,7.940449999999981134e-01,9.749999999999946427e-04
9.000000000000000222e-01,1.000000000000000056e-01,3.862499999999999822e-01,3.212499999999999800e-01,2.924999999999999822e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.500000000000000000e+03,-1.000000000000000000e+00,3.376349999999997964e-01,3.776299999999994106e-01,2.847350000000000714e-01
