epsilon,mc_g0_T40_k10_N500,hmf_g0_T40_k10_N500,mc_g0_T65_k10_N500,hmf_g0_T65_k10_N500,mc_g0_T100_k10_N500,hmf_g0_T100_k10_N500,mc_g0_T65_k6_N500,hmf_g0_T65_k6_N500,mc_g0_T65_k20_N500,hmf_g0_T65_k20_N500,mc_g0_T65_k10_N250,hmf_g0_T65_k10_N250,mc_g0_T65_k10_N1000,hmf_g0_T65_k10_N1000,mc_g1_T65_k10_N500,hmf_g1_T65_k10_N500,mc_g1_T65_k20_N500,hmf_g1_T65_k20_N500
4.000000000000000222e-01,9.993236666666667212e-01,9.999995814766802216e-01,9.960330000000000572e-01,9.998607395415479715e-01,9.796480000000000743e-01,9.962414515758791778e-01,1.646017999999999926e-01,9.947201266553293841e-01,9.999913333333333432e-01,9.999999849851571865e-01,9.974123333333334562e-01,9.998799005391393324e-01,9.961413333333334341e-01,9.998538732989648015e-01,9.937200000000000477e-01,9.998383120791565215e-01,9.999410000000000798e-01,9.999999791693792162e-01
4.400000000000000022e-01,9.991733333333333578e-01,9.999988553084480092e-01,9.948436666666666817e-01,9.997407275356655632e-01,9.711006666666666121e-01,9.942363241184675182e-01,1.573073333333333337e-02,9.920233177534695246e-01,9.999856666666665506e-01,9.999999487343884663e-01,9.962439999999999074e-01,9.997742450241036138e-01,9.947860000000000591e-01,9.997287898445254006e-01,9.907713333333333372e-01,9.997018631301972658e-01,9.998876666666666191e-01,9.999999304128563971e-01
4.799999999999999822e-01,9.988643333333334651e-01,9.999968690567787588e-01,9.927396666666666869e-01,9.995162909331858359e-01,1.934708000000000261e-01,9.910250405756448888e-01,4.107620000000000195e-03,9.877135864787778274e-01,9.999713333333333232e-01,9.999998249617305657e-01,9.946749999999999758e-01,9.995748381984999043e-01,9.928223333333333622e-01,9.994955610270903623e-01,9.853883333333333105e-01,9.994490152975790132e-01,9.998313333333332942e-01,9.999997675349013848e-01
5.200000000000000178e-01,9.984333333333333949e-01,9.999914353253048782e-01,4.362408666666666157e-01,9.990940287408195397e-01,6.573789999999999495e-03,9.856332629732240669e-01,5.405906666666667436e-03,9.803778002673878555e-01,9.999283333333334189e-01,9.999994023525304865e-01,9.896426666666666705e-01,9.991964050925744578e-01,7.467233333333333362e-03,9.990579793839183820e-01,7.290776666666666239e-01,9.989773787787654680e-01,9.997070000000000123e-01,9.999992234078050046e-01
5.600000000000000533e-01,1.046079333333333437e-02,9.999765641560893759e-01,5.637159999999999567e-03,9.982902681559652214e-01,3.692210000000000023e-03,9.756107560762468101e-01,3.569233333333333372e-03,4.007590946482302366e-03,9.998743333333334204e-01,9.999979593198953243e-01,2.143438666666666881e-01,9.984704617600901333e-01,7.234866666666665835e-03,9.982271223068559518e-01,6.505616666666667706e-03,9.980864551589853084e-01,9.994063333333333965e-01,9.999974055215655744e-01
5.999999999999999778e-01,4.095193333333333602e-03,9.999358173196304378e-01,6.948283333333333568e-03,9.967242942470849743e-01,3.853763333333334092e-03,7.780830361030989691e-04,4.376893333333332914e-03,1.188800291144169593e-03,9.997523333333333539e-01,9.999930310801358191e-01,7.495263333333332563e-03,9.970475412542082472e-01,2.365243333333333104e-03,9.966114079518170188e-01,2.932023333333333339e-03,9.963605737547971408e-01,9.989736666666666487e-01,9.999913307825457620e-01
6.400000000000000133e-01,4.324610000000000433e-03,9.998238156970773449e-01,3.613910000000000126e-03,5.018091607704236456e-04,2.951379999999999976e-03,2.966779519645657785e-03,1.481420000000000002e-03,1.283397196020083335e-03,2.841540000000000038e-03,9.999761897762279306e-01,4.028189666666666044e-03,5.017485096809982470e-04,1.875958666666666802e-03,5.018313870103839180e-04,5.242936666666666440e-03,6.039355114125827435e-04,9.232036666666667557e-01,9.999710163408221941e-01
6.800000000000000488e-01,2.768944000000000179e-03,9.995132143656617618e-01,3.350890333333333190e-03,5.099381054996226376e-04,3.181386666666666339e-03,6.531100160560737201e-04,1.923046999999999994e-03,6.523836149324770952e-04,4.097687666666666347e-03,9.999185159524968114e-01,2.877213333333333151e-03,5.108097642464933278e-04,2.317922666666666787e-03,5.096245511604846276e-04,3.920156666666666477e-03,5.089085677706881852e-04,3.945069999999999306e-03,9.999029169021416141e-01
7.199999999999999734e-01,1.974776666666666885e-03,6.427800413811413094e-03,2.177163333333333780e-03,5.785775265775496175e-04,2.702986666666666853e-03,6.433162441144457851e-04,3.019936666666666724e-03,6.431267717275105040e-04,2.686713333333333453e-03,5.292344625749294870e-04,3.440276666666667107e-03,5.727449233094527963e-04,1.040254000000000005e-03,5.809317231142932959e-04,3.238710000000000113e-03,5.869521865661348967e-04,4.956673333333334007e-03,5.291237457091263344e-04
7.600000000000000089e-01,1.545488333333333185e-03,5.488275645214005412e-04,1.929746666666666511e-03,6.270471056375884547e-04,2.017869999999999733e-03,6.328612640997216630e-04,2.921076666666666630e-03,6.331700136749041563e-04,1.866829999999999878e-03,5.293148529503064349e-04,1.999237333333333221e-03,6.267845924205508968e-04,1.147826999999999919e-03,6.271331138831456311e-04,2.744447000000000119e-03,6.273149831733083014e-04,3.553060000000000246e-03,5.533458956443081849e-04
8.000000000000000444e-01,1.707003666666666655e-03,5.292029669773000910e-04,1.945416333333333317e-03,5.199656664878325339e-04,1.860550333333333252e-03,5.092124239856579866e-04,2.904640000000000000e-03,5.077658901038667807e-04,2.870940000000000211e-03,5.291998636730245367e-04,1.881211333333333196e-03,5.203589679333224223e-04,1.650908999999999884e-03,5.198365601972208339e-04,1.668490666666666870e-03,5.195630920518747075e-04,4.415383333333334180e-03,5.292029730086092237e-04
8.399999999999999689e-01,1.583483666666666645e-03,5.291652248286657281e-04,5.724046666666666311e-04,5.276431208233984356e-04,2.112636666666666517e-03,5.111638757409974311e-04,2.060899999999999625e-03,5.094539237905729981e-04,1.180218000000000022e-03,5.291610884377959297e-04,4.264956666666666618e-03,5.278483236999712653e-04,1.084026666666666619e-03,5.275682379956590567e-04,2.089762666666666532e-03,5.273952793711017203e-04,3.370240000000000041e-03,5.291619896331013762e-04
8.800000000000000044e-01,1.109175666666666754e-03,5.291492183464933637e-04,1.492306666666666851e-03,5.286025552624859253e-04,1.493811000000000054e-03,1.189913430798394782e-02,2.133980000000000165e-03,3.400886823610601260e-03,1.993983333333333111e-03,5.291516245739921916e-04,1.749409999999999854e-03,5.286681273450048084e-04,1.059075333333333408e-03,5.285792651774375668e-04,2.026040666666666535e-03,5.285268070834781484e-04,2.147273333333333482e-03,5.291516945743621669e-04
9.200000000000000400e-01,2.669786666666666697e-03,5.291462791787153886e-04,9.318930000000000442e-04,5.288746133888509206e-04,1.996390000000000230e-03,1.158188649830628209e-03,1.645306333333333400e-03,2.729128750740781543e-03,1.010711999999999982e-03,5.291499413656829132e-04,1.980923333333333477e-03,5.289050596027000326e-04,1.204659666666666601e-03,5.288638630438017565e-04,2.425439999999999627e-03,5.288397667079217839e-04,2.163506666666666686e-03,5.291498428214508939e-04
9.599999999999999645e-01,1.795506666666666631e-03,5.291470888497349636e-04,7.713576666666666082e-04,5.289862888418737658e-04,1.473593333333333413e-03,5.263395328004915686e-04,1.244894999999999986e-03,5.249856993414415843e-04,1.206906333333333369e-03,5.291498943112584287e-04,1.268530666666666668e-03,5.290033879472398745e-04,1.678879999999999999e-03,5.289802767991397823e-04,2.571660666666666668e-03,5.289668457118926236e-04,1.840590000000000238e-03,5.291498074610703631e-04
1.000000000000000000e+00,1.583077666666666541e-03,5.291483172542057719e-04,1.036211999999999897e-03,5.290451084782324875e-04,1.157214999999999850e-03,5.275664978698716692e-04,1.339860333333333167e-03,5.269350610932446895e-04,2.024513333333333512e-03,5.291500514318793046e-04,2.936953333333333551e-03,5.290558895123388498e-04,9.479833333333333818e-04,5.290413274275698177e-04,1.894246666666666570e-03,5.290328975114031145e-04,2.659895999999999702e-03,5.291499999880369546e-04
